name,aliases,category,unit_type,diet
Cumin Seeds,"jeera,zeera,jira,safaid jeera",spice,whole,vegan
Mustard Seeds,"rai,sarson,kaduku,aavalu",spice,whole,vegan
Coriander Seeds,"dhania,dhaniya,sabut dhania,malli",spice,whole,vegan
Turmeric Powder,"haldi,manjal,pasupu,arishina",spice,pinch,vegan
Red Chilli Powder,"lal mirch,mirchi powder,cayenne,milagai podi",spice,pinch,vegan
Garam Masala,"garam masala powder,whole spice mix",spice,pinch,vegan
Cumin Powder,"jeera powder,ground cumin,jira powder",spice,pinch,vegan
Coriander Powder,"dhania powder,ground coriander,malli podi",spice,pinch,vegan
Asafoetida,"hing,heeng,perungayam,kayam",spice,pinch,vegan
Black Pepper,"kali mirch,milagu,menasukalu",spice,whole,vegan
Black Pepper Powder,"kali mirch powder,ground black pepper",spice,pinch,vegan
Cardamom,"elaichi,elakkai,green cardamom,yelakki",spice,whole,vegan
Black Cardamom,"badi elaichi,kali elaichi,large cardamom",spice,whole,vegan
Cloves,"laung,lavang,kirambu,lavangam",spice,whole,vegan
Cinnamon,"dalchini,pattai,taj",spice,whole,vegan
Bay Leaves,"tej patta,biryani leaf,tamalpatra",spice,whole,vegan
Star Anise,"chakra phool,anasphal,biryani flower",spice,whole,vegan
Fenugreek Seeds,"methi dana,vendayam,menthulu",spice,whole,vegan
Fennel Seeds,"saunf,sombu,variyali,badi saunf",spice,whole,vegan
Carom Seeds,"ajwain,omam,vaamu",spice,whole,vegan
Dry Red Chilli,"sukhi lal mirch,whole red chilli,dried chilli",spice,whole,vegan
Kashmiri Red Chilli,"kashmiri mirch,kashmiri chilli powder,deghi mirch",spice,pinch,vegan
Chaat Masala,"chaat masala powder",spice,pinch,vegan
Amchur Powder,"dry mango powder,amchoor,khatai",spice,pinch,vegan
Mace,"javitri,japatri",spice,whole,vegan
Nutmeg,"jaiphal,jathikkai,jajikaya",spice,whole,vegan
Saffron,"kesar,zafran,kumkuma puvvu",spice,pinch,vegan
Dry Ginger Powder,"sonth,saunth,sukku,sunthi",spice,pinch,vegan
Black Salt,"kala namak,sanchal,sulphur salt",spice,pinch,vegan
Rock Salt,"sendha namak,saindha namak,uppu",spice,pinch,vegan
Salt,"namak,uppu,uppinakayi",spice,pinch,vegan
White Pepper,"safed mirch,white pepper powder",spice,pinch,vegan
Nigella Seeds,"kalonji,kala jeera,onion seeds,mangrel",spice,whole,vegan
Celery Seeds,"ajmoda,randhuni",spice,whole,vegan
Pomegranate Powder,"anardana,dried pomegranate seeds",spice,pinch,vegan
Kokum,"kokam,gamboge,kudampuli",spice,whole,vegan
Dried Rose Petals,"gulab patti,rose petals",spice,whole,vegan
Long Pepper,"pippali,pippal,thippali",spice,whole,vegan
Turmeric Root,"kacchi haldi,raw turmeric,pacha manjal",spice,whole,vegan
Cinnamon Powder,"dalchini powder,ground cinnamon",spice,pinch,vegan
Cardamom Powder,"elaichi powder,green cardamom powder",spice,pinch,vegan
Clove Powder,"laung powder,ground cloves",spice,pinch,vegan
Allspice,"kabab chini,tailed pepper",spice,whole,vegan
Curry Powder,"curry masala,madras curry powder",spice,pinch,vegan
Tandoori Masala,"tandoori masala powder",spice,pinch,vegan
Biryani Masala,"biryani masala powder",spice,pinch,vegan
Sambar Powder,"sambar masala,sambar podi",spice,pinch,vegan
Rasam Powder,"rasam podi,saaru pudi",spice,pinch,vegan
Pav Bhaji Masala,"pav bhaji masala powder",spice,pinch,vegan
Chole Masala,"chana masala powder,chole masala powder",spice,pinch,vegan
Kasuri Methi,"dried fenugreek leaves,kasoori methi",herb,pinch,vegan
Fresh Coriander,"dhania patta,cilantro,kothmir,kothamalli,hara dhania",herb,whole,vegan
Fresh Mint,"pudina,pudhina,puthina",herb,whole,vegan
Curry Leaves,"kadi patta,kadipatta,karivepilai,karibevu",herb,whole,vegan
Ginger,"adrak,inji,allam,shunti",herb,weight,vegan
Garlic,"lahsun,poondu,vellulli,bellulli",herb,whole,vegan
Green Chilli,"hari mirch,pachha milagai,pacha molaga",herb,whole,vegan
Lemongrass,"hari chai,lemon grass",herb,whole,vegan
Basil,"tulsi,sabja,sweet basil",herb,whole,vegan
Dill Leaves,"suva,shepu,soa,soya bhaji",herb,whole,vegan
Fresh Fenugreek Leaves,"hari methi,methi bhaji,vendhaya keerai",herb,whole,vegan
Spring Onion,"hara pyaz,green onion,scallion,hari pyaaz",herb,whole,vegan
Pandan Leaves,"kewra,rampe",herb,whole,vegan
Drumstick Leaves,"moringa leaves,sahjan ke patte,murungai keerai",herb,whole,vegan
Lemon Zest,"nimbu ka chilka,lemon peel",herb,whole,vegan
Orange Zest,"santre ka chilka,orange peel",herb,whole,vegan
Onion,"pyaz,pyaaj,vengayam,ulli,eerulli",vegetable,whole,veg
Tomato,"tamatar,thakkali,tomato",vegetable,whole,vegan
Potato,"aloo,alu,urulaikizhangu,batata",vegetable,weight,vegan
Cauliflower,"gobi,phool gobi,cauliflower,phukobi",vegetable,weight,vegan
Spinach,"palak,keerai,palakura",vegetable,weight,vegan
Peas,"matar,vatana,pachai pattani,batani",vegetable,weight,vegan
Carrot,"gajar,carrot,gajjara",vegetable,weight,vegan
Capsicum,"shimla mirch,bell pepper,kodamilagai,donne mirchi",vegetable,whole,vegan
Red Capsicum,"lal shimla mirch,red bell pepper",vegetable,whole,vegan
Yellow Capsicum,"peeli shimla mirch,yellow bell pepper",vegetable,whole,vegan
Brinjal,"baingan,eggplant,aubergine,kathrikkai,vankaya",vegetable,whole,vegan
Okra,"bhindi,ladyfinger,vendakkai,bendakaya",vegetable,weight,vegan
Bottle Gourd,"lauki,ghiya,dudhi,sorakkai,sorekai",vegetable,weight,vegan
Bitter Gourd,"karela,pavakkai,kakarakaya",vegetable,whole,vegan
Drumstick,"sahjan,murungakkai,munagakaya",vegetable,whole,vegan
Cabbage,"patta gobi,muttaikose,kosu",vegetable,weight,vegan
Corn,"makka,bhutta,makai,sweet corn,cholam",vegetable,whole,vegan
Mushroom,"khumb,khumbi,kukku",vegetable,weight,vegan
Pumpkin,"kaddu,sitaphal,poosanikai,gummadikaya",vegetable,weight,vegan
